name,value,iso
Singapore,4.3,SGP
Afghanistan,0,AFG
Bangladesh,9.1,BGD
Cambodia,8.2,KHM
China,21.8,CHN
India,8.4,IND
Indonesia,11.4,IDN
Iran,4.9,IRN
Iraq,6.4,IRQ
Japan,4.6,JPN
Malaysia,10.4,MYS
Nepal,5.9,NPL
Pakistan,2.3,PAK
Philippines,12.4,PHL
Saudi Arabia,0,SAU
Vietnam,26,VNM
Mongolia,7.9,MNG
Angola,15.5,AGO
Niger,1.2,NER
Libya,0,LBY
Morocco,0.6,MAR
Nigeria,3.4,NGA
Algeria,3.2,DZA
Yemen,0.7,YEM
Oman,0,OMN
Russia,10.2,RUS
Poland,13,POL
France,10.9,FRA
Spain,21.6,ESP
Portugal,18.7,PRT
Italy,11.1,ITA
Thailand,5.6,THA
Turkmenistan,26,TKM
Uzbekistan,7.2,UZB
Kazakhstan,10.8,KAZ
Sudan,9.7,SDN
Chad,2.4,TCD
Central African Republic,7.3,CAF
Democratic Republic of the Congo,5.4,COD
Zambia,10.1,ZMB
Mali,12.2,MLI
Mauritania,8,MRT
Ethiopia,2,ETH
Somalia,4,SOM
Kenya,3.6,KEN
Tanzania,16.4,TZA
Namibia,22.2,NAM
Canada,20.6,CAN
United States,13.3,USA
Mexico,18.2,MEX
Cuba,27.6,CUB
Venezuela,12.1,VEN
Guatemala,7.1,GTM
Colombia,11.8,COL
Peru,10.8,PER
Chile,10.8,CHL
Paraguay,2.5,PRY
Uruguay,12.1,URY
