name,value,iso
Singapore,24.2,SGP
Afghanistan,27.7,AFG
Bangladesh,19.7,BGD
Cambodia,20.3,KHM
China,23.4,CHN
India,11,IND
Indonesia,18.6,IDN
Iran,3.1,IRN
Iraq,25.2,IRQ
Japan,8.1,JPN
Malaysia,10.4,MYS
Nepal,33.2,NPL
Pakistan,20.7,PAK
Philippines,27.1,PHL
Saudi Arabia,19.9,SAU
Vietnam,24.4,VNM
Mongolia,14.9,MNG
Angola,36.8,AGO
Niger,13.3,NER
Libya,16.5,LBY
Morocco,17,MAR
Nigeria,6.7,NGA
Algeria,31.6,DZA
Yemen,0.3,YEM
Oman,1.2,OMN
Russia,13.6,RUS
Poland,23.7,POL
France,26.9,FRA
Spain,36,ESP
Portugal,28.7,PRT
Italy,31.4,ITA
Thailand,15.8,THA
Turkmenistan,16.8,TKM
Uzbekistan,22,UZB
Kazakhstan,24.3,KAZ
Sudan,24.6,SDN
Chad,14.9,TCD
Central African Republic,12.5,CAF
Democratic Republic of the Congo,8.9,COD
Zambia,11.5,ZMB
Mali,10.2,MLI
Mauritania,10.4,MRT
Ethiopia,27.8,ETH
Somalia,13.8,SOM
Kenya,18.6,KEN
Tanzania,36,TZA
Namibia,24.4,NAM
Canada,24.7,CAN
United States,17.9,USA
Mexico,36.8,MEX
Cuba,48.9,CUB
Venezuela,17,VEN
Guatemala,13.3,GTM
Colombia,12.1,COL
Peru,21.5,PER
Chile,14.2,CHL
Paraguay,17.5,PRY
