name,value,iso
Singapore,16,SGP
Afghanistan,27.3,AFG
Bangladesh,2,BGD
Cambodia,9.8,KHM
China,20.2,CHN
India,8.3,IND
Indonesia,11.3,IDN
Iran,4.1,IRN
Iraq,25.5,IRQ
Japan,7.1,JPN
Malaysia,9.1,MYS
Nepal,5.9,NPL
Pakistan,21.3,PAK
Philippines,15.3,PHL
Saudi Arabia,0,SAU
Vietnam,27.3,VNM
Mongolia,6.8,MNG
Angola,15,AGO
Niger,12.4,NER
Libya,4.7,LBY
Morocco,10.8,MAR
Nigeria,4.7,NGA
Algeria,6.2,DZA
Yemen,0.3,YEM
Oman,2.4,OMN
Russia,9.8,RUS
Poland,20.2,POL
France,12.2,FRA
Spain,36,ESP
Portugal,19.1,PRT
Italy,11.5,ITA
Thailand,8.8,THA
Turkmenistan,16,TKM
Uzbekistan,17.5,UZB
Kazakhstan,10.4,KAZ
Sudan,9.7,SDN
Chad,6.5,TCD
Central African Republic,10.5,CAF
Democratic Republic of the Congo,12,COD
Zambia,12,ZMB
Mali,10.2,MLI
Mauritania,8.5,MRT
Ethiopia,7.7,ETH
Somalia,8,SOM
Kenya,7.1,KEN
Tanzania,21.4,TZA
Namibia,25,NAM
Canada,21.1,CAN
United States,14.9,USA
Mexico,22.6,MEX
Cuba,36,CUB
Venezuela,9.7,VEN
Guatemala,8.2,GTM
Colombia,12,COL
Peru,18.3,PER
Chile,12.5,CHL
Paraguay,10,PRY
Uruguay,12.1,URY
